#
# Version: 2011-03-12 00:00:00.0
#
# Table label_fr = Codes INS via Code postal
#
# POSTAL_CODE_fr  =  Code postal
# SEQNBR_fr  =  Numéro de séquence
# NIS_CODE_fr  =  Code INS
# EXPIRATION_DATE_fr  =  Date de suppression
# LATEST_TREATMENT_DATE_fr  =  Date du dernier traitement
#
# Table label_nl = NIS-codes via postcode
#
# POSTAL_CODE_nl  =  Postcode
# SEQNBR_nl  =  Sequentienummer
# NIS_CODE_nl  =  NIS-code
# EXPIRATION_DATE_nl  =  Verwijderingsdatum
# LATEST_TREATMENT_DATE_nl  =  Datum laatste verwerking
#
# Table label_de = LAS-Codes über Postleitzahl
#
# POSTAL_CODE_de  =  Postleitzahl
# SEQNBR_de  =  Sequenznummer
# NIS_CODE_de  =  LAS-Code
# EXPIRATION_DATE_de  =  Löschungsdatum
# LATEST_TREATMENT_DATE_de  =  Datum der letzten Verarbeitung
#
POSTAL_CODE;SEQNBR;NIS_CODE;EXPIRATION_DATE;LATEST_TREATMENT_DATE
2990;2;11053;;
3000;0;24053;;1998-09-18
3000;1;24062;;
3001;0;24034;;1990-10-26
3001;1;24040;;1990-10-26
3001;2;24062;;
3010;0;24051;;1990-10-26
3010;1;24053;;2001-06-15
3010;2;24062;;
3012;0;24062;;
3012;1;24126;;1990-10-26
3018;0;24038;;1991-02-15
3018;1;24062;;
3020;0;24038;;
3020;1;24111;;1990-10-26
3020;2;24127;;1990-10-26
3040;0;24045;;
3040;1;24064;;1990-10-26
3040;2;24075;;1990-10-26
3040;3;24085;;1990-10-26
3040;4;24099;;1990-10-26
3050;0;24086;;
3051;0;24086;;
3051;1;24100;;1990-10-26
3052;0;24013;;1990-10-26
3052;1;24086;;
3053;0;24034;;1990-10-26
3053;1;24086;;
3054;0;24086;;
3054;1;24110;;1990-10-26
3060;0;24009;;
3060;1;24052;;1984-03-24
3061;0;24009;;
3061;1;24061;;
3070;0;24055;;
3071;0;24025;;
3071;1;24055;;
3078;0;24026;;
3078;1;24055;;
3078;2;24068;;1990-10-26
3080;0;23094;;1991-06-14
3080;1;23103;;1991-06-14
3080;2;24023;;1990-10-26
3080;3;24104;;
3080;4;24114;;1990-10-26
3090;0;23062;;
3110;0;24094;;
3111;0;24094;;
3111;1;24123;;
3118;0;24094;;
3118;1;24121;;
3120;0;24109;;
3128;0;24006;;
3128;1;24010;;1991-02-15
3128;2;24109;;
3130;0;24007;;1991-01-11
3130;1;24010;;1990-10-26
3140;0;24048;;
3150;0;24033;;
3150;1;24038;;1991-06-14
3150;2;24108;;1990-10-26
3150;3;24121;;1991-06-14
3150;4;24122;;1990-10-26
3190;0;24014;;
3191;0;24014;;
3191;1;24039;;1990-10-26
3200;0;24001;;
3200;1;24029;;1990-10-26
